Chromosome	Start	Stop	Strand	Gene Symbol	AKO5	AKO6	AKO7	AKO8	Ako_Lx1	Ako_Lx2	Ako_Lx3	WT6	wt_Lx1	WT7	WT5	Ako_Lx4	wt_Lx3	WT8	wt_Lx2	wt_Lx4
7	127661454	127708767	-	Bcl7c	289.605	259.004	212.871	244.772	287.454	265.112	254.237	216.812	426.27	233.69	182.513	328.06	412.406	282.576	316.588	305.878
3	97203662	97227365	-	Bcl9	473	475	327	453	494	394	523	267	454	345	274	543	543	423	443	597
9	44482825	44511907	+	Bcl9l	793.001	779.002	479	687	628.998	740.001	743	438.999	844.001	451	409	746.999	878.002	596.998	702.996	914.001
10	20312469	20342502	+	Bclaf1	1180.01	1088	866.004	1067	1109.99	1118.01	975.002	745.002	1162	904.999	803	1099	1599.01	565	1026.01	1196
X	159532668	159593082	+	Bclaf3	58	46	40	52	78	76	81	60	60	34	68	82	172	35	74	76
X	12036738	12160356	-	Bcor	467	419	305	439	450	525	477.999	334	482.999	334	316	435	504	379	499	527.001
X	48341358	48406729	+	Bcorl1	116	121	66	93	95	98	108	60	146	71	62	90	161	103	93	156
10	75060896	75184924	+	Bcr	218	166	105	172	310	367	277	128	438	146	160	359	767	171	341	528
1	74588289	74592444	+	Bcs1l	316	291	334.999	337.001	419.002	391	309	269.001	329	300	235	375	452	374.001	342	350
16	31422297	31458902	+	Bdh1	1227.95	1770.45	954.636	710.965	2229.86	1739.57	1261.92	2000.77	1542.9	915.957	1370.93	2212.69	1029	1061.64	1452.75	1047.95
2	109674700	109727044	+	Bdnf	127	98	69	83	70.0001	61	114	132	100	99.9999	181	134	98	119	104	101
13	100017994	100104071	-	Bdp1	474	433	318	375	378	376	377	323	405	316	272	335	476	282	348	363
8	104170513	104219098	+	Bean1	31	20	8	10	45	46	22	28	63	16	13	50	70.9999	28	21	24
11	101288258	101302287	-	Becn1	694.632	751.293	617.519	608.764	822.164	805.081	706.37	626.669	974.182	645.494	551.854	803.105	1246.03	724.77	740.751	901.666
10	43479140	43515418	+	Bend3	140	127	109	111	167	169	221	148	198	134	125	168	157	136	201	227
5	67392147	67427800	-	Bend4	50	40	25	37	74	126	97	45	161	35	33	111	250	41	113	171
4	111415006	111460299	+	Bend5	102	121	87	130	75	86	106	115	84	126	95	100	59	149	99	96
2	4717831	4802147	+	Bend7	73	93.9999	70	86	95.0001	81	66	82.0001	66	80.0001	55	62	70	83	62	100
10	116986314	117025041	+	Best3	58	77	59	51	79	126	96	57	62	41	26	72	69	39	93	44
6	4076899	4086931	-	Bet1	173	132	189	176	218	258	202	216	253	193	189	272	372	130	228	266
7	140853384	140856384	-	Bet1l	149	156	134	143	212	265	195	115	321	158	185	254	453	167	199	310
X	136270253	136271979	+	Bex3	50	50	61	45	86	126	99	39	181	46	42	141	471.986	53	129	211
16	13671858	13703613	+	Bfar	1012	1098	993.996	1081.99	1089.99	1102.99	1145.99	1005.99	1095	983.996	1061.99	1052.99	1262	1066.99	984.009	1046.99
X	73483601	73495937	+	Bgn	2195	1836	3198	2373	7537	9703	5106	2088	13590	1526	1523	10167	19899	2494	7284	9784
X	135885851	135891082	+	Bhlhb9	397.999	352	334	294	339	327.999	297.001	298	301	328.999	300.001	359	370.999	284	346.999	330
6	108660629	108666926	+	Bhlhe40	1135	1233	981	1035	946	1074	856	911	1613	891	758	1091	1833	1101	1385	1303
6	145858243	145865421	-	Bhlhe41	706.002	597.003	558.003	568.999	466.002	519	356	487	797.994	655.001	616.001	462.998	708	814.999	544	614.999
10	70922830	71159691	-	Bicc1	459	389.001	383.001	320	821	921	811	301	1296.99	327	395	1089	1766	394.998	955.003	1640
6	149408984	149563327	+	Bicd1	71	81	86.0001	94	172	228	171	76	221	71	97.0001	277	272.999	43	137	262
13	49341549	49387027	+	Bicd2	1930	2064.05	1641.99	1828.02	2019.99	2196.98	2074.98	1625.01	2106.99	1683.99	1385.01	2059.03	2782.02	1917.97	1954.03	2121.01
5	115648175	115731622	-	Bicdl1	90	78	48	79	109	111	119	54	190	44	70	176	139	59	178	273
7	15971262	15999496	-	Bicra	144	172	95	180	145	246	172	160	246	151	97	208	300	170	229	272
17	46798116	46831414	-	Bicral	246	224	161	206	287	295	314	199	318	191	176	323	456	175	332	377
6	120893119	120916825	-	Bid	8	15	23	15	25	26	17	18	54	8	15	52	127	16	57	37
15	83526862	83544636	+	Bik	39	46	46	35	76	87	105	62	70	46	57	70	85	68	83	91
18	32377217	32435741	+	Bin1	95	115	69	82	159	201	193	67	313	87	133	246	537.002	122	231	267
14	70100093	70137960	+	Bin3	97	110	101	66	140	149	134	85	195	106	95	187	376.999	134	173	197
9	7818226	7837058	-	Birc2	372.001	389.002	365	406.001	373.001	428.002	457.002	344	477	343	317	453.001	616.999	316	467.002	543.001
9	7848701	7873171	-	Birc3	122	119	116	96	135	172	130	132	183	101	99	178	434	112	163	199
17	74528295	74703357	+	Birc6	1200	1218	822	1192	1287	1382	1163	864	1426	841	644	1400	1755	896	1272	1414
1	44118957	44144772	+	Bivm	149	162	149	120	188	157	162	137	187	120	156	163	221	147	173	212
2	157556362	157566362	-	Blcap	704.997	781.996	581	663.003	610.999	663.001	718.998	667.999	711	623	542.997	673.001	681.996	826	650.005	805.996
7	80454993	80535120	-	Blm	26	19	11	9	41	42	36	12	109	21	27	39	96.9999	18	25	56
11	76945656	76987390	+	Blmh	521	493	401	477	466	477	488	380	680	419	360	568	986	482	576	651
19	40928927	40994222	-	Blnk	24	27	24	20	19	38	24	22	37	23	34	56	78	46	48	45
10	128919914	128923525	-	Bloc1s1	893	832	842	777	627	578	784	777	655	867	868	656	730	1182	722	861
19	44139247	44146447	-	Bloc1s2	88	140	95	113	126	134	115	98	153	97	113	145	224	162	104	124
7	19505804	19508371	-	Bloc1s3	77	90	85	78	81	120	127	89	155	87	84	122	191	102	111	123
5	36747374	36748680	-	Bloc1s4	197	215	180	221	164	183	196	182	253	226	162	214	260	208	225	221
13	38602701	38635093	-	Bloc1s5	223	222	228	207	319	285	241	198	293	204	210	282	368	262	233	257
2	122738505	122749488	+	Bloc1s6	378	480	457	424	557	528	425	415	496	440	424	485	541	509	505	518
2	127070657	127097085	+	Blvra	157	185	171	144	204	211	176	137	273	179	207	237	336	208	208	214
7	27447978	27465982	+	Blvrb	121	129	149	139	129	180	215	115	257	143	147	228	368	128	229	266
1	164289799	164307488	-	Blzf1	374	399	353.999	383	370.001	355.999	356.001	342	367.001	335.999	378.001	395	421.001	377	379.999	387
2	118528757	118549687	-	Bmf	94	60	56	85	84	99	114	60	147	75	79.9999	133	237	97	125	305.999
2	18677018	18686630	+	Bmi1	961	864	763	838	755	796	869	746	906	814	835	787	965	536	803	995
14	70474555	70520673	-	Bmp1	562.002	495	391	558.001	1232	1379	994	457	1968.99	380	380.999	1489.01	3050.99	515	1303.01	1592.99
2	133552159	133562897	+	Bmp2	26	18	26	13	39	41	39	13	57	17	16	25	84	10	46	73
5	96997689	97091049	+	Bmp2k	82.3128	104.55	71.7282	87.4491	180.26	165.995	148.936	73.376	238.395	64.9339	77.7828	197.657	407.2	81.8078	208.865	224.764
14	46383525	46390670	-	Bmp4	67	51	76	63	63	67	54	83	138	57	81	113	133	92	74	137
13	38345716	38500315	+	Bmp6	421	284	259	362	417	375	343	259	403	272	326	434	666	399	399	481
2	172868012	172940322	-	Bmp7	11	37	14	19	20	24	13	19	14	23	19	27	11	26	44	35
9	23223076	23485216	+	Bmper	110	55	82	77	169	233	162	67	293	55	78	161	385	73	143	225
14	34411068	34502547	-	Bmpr1a	1823	1653	1534	1425	1576	1794	1539	1276	1874	1534	1549	1636	1993	1314	1645	1871
1	59764279	59878082	+	Bmpr2	1798	1490	1354	1475	2049	2216	1669	1408	1867	1413	1558	1812	2750	837	1979	2170
6	118383381	118419418	-	Bms1	380	355	324	341	504	547	471	274	488	263	245	477	782	395	494	516
6	13625675	13677967	-	Bmt2	321	225	207	236	277	264	289	233	275	245	238	256	390	147	314	365
X	164192842	164258194	-	Bmx	37	31	14	24	52	92	72	34	104	16	28	122	219	31	101	168
2	25706879	25707720	+	Bmyc	98	100	116	140	136	107	132	92	160	110	85	158	162	125	119	175
4	84266807	84675404	-	Bnc2	14	18	10	24	39	53	35	18	76	14	18	81.0001	153	7	74	89
17	26781079	26792522	+	Bnip1	200	175	181	239	245	232	215	194	238	164	131	261	281	221	222	209
9	69989466	70011660	+	Bnip2	1557.99	1418.99	1236.01	1224.01	1550	1632.02	1393.99	1197	1816	1226.01	1226.99	1701.01	2492.99	1389	1502.01	1627.03
7	138890836	138909507	-	Bnip3	2362	2264	2229	1962	2486	2218	1912	2324	1427	2287	2387	1785	1927	1995	1651	1522
14	66985240	67008878	-	Bnip3l	938	745	842	773	833	916	905	875	897	889	924	939	1351	797	898	1127
16	44485045	44558871	-	Boc	66	71	69	68	95	115	120	68	183	76	67	119	217	75	99	239
11	31665150	31671863	-	Bod1	1490	1511	1308	1476	1058	1037	1268	1239	1120	1293	1361	1238	1093	1823	1178	1311
5	41787540	41844316	-	Bod1l	569.999	562.997	433.998	535.002	512.002	593	535.998	492	520.997	421.001	431.002	592.003	753.001	453	551.999	689.998
1	93685575	93695771	+	Bok	62	40	82	59	183	251	162	71	292	59	78	216	503	87	179	189
3	96196588	96197587	-	Bola1	203	174	219	218	148	123	225	186	144	197	195	157	210	253	165	174
7	126696000	126696694	+	Bola2	78	59	113	62	95	104	86	59	163	99	84	85	227	127	100	102
6	83349147	83360137	+	Bola3	1400	1514	1323	1270	1372	1303	1176	1334	1145.99	1412	1460	1285	883.006	2060	1165	1267
15	76452988	76477250	-	Bop1	247	251	235	280	362	326	297	205	357	159	173	380	568	317	283	303
14	99046377	99074541	+	Bora	22	11	10	14	51	30	22	11	61	12	21	60	158	11	36	37
6	134639512	134711185	+	Borcs5	131	145	169	145	145	177	111	128	154	124	110	166	160	147	153	162
11	69059775	69061577	+	Borcs6	325	247	226	237	266	279	236	244	320	271	231	271	334	316	293	323
19	46689906	46703383	+	Borcs7	162	163	132	184	198	197	170	151	171	173	150	182	206	166	168	213
8	70139499	70148635	+	Borcs8	276	199.996	191.999	248	347	344.999	236	217	374	172	159	341	433.001	238	281.999	365.999
6	34476356	34505137	+	Bpgm	357	322.999	292	319.999	331	323	282	384.999	340	359	322	270	345	414.999	282	273
13	34037641	34074075	+	Bphl	287	286	299	305	228	213	272	234	185	279	309	292	220	395	276	303
1	185332159	185357778	+	Bpnt1	244	280	286	308	304.999	335	257	225	310	229	195	291	414	251	278.999	346
11	107033081	107132148	-	Bptf	713	656	417	579	662	632.003	719	476	735	449	423.999	710	1017	508	668.003	812
6	39603237	39725464	-	Braf	287	342	282	299	398	457	419	333	457	292	286	427	638	261	416	500
5	121660563	121687250	+	Brap	419.002	461.998	398.001	378.001	473.998	489	456.999	343	568.999	378.001	356.001	476	598.999	481.001	514.998	546.001
5	140705011	140719379	+	Brat1	137	141	83	104	112	107	138	82	191	124	96.9999	145	197	138	144	181
5	150522621	150570147	+	Brca2	25	21	25	21	51	64	38	25	70	21	18	48	104	31	55	46
X	75416628	75455702	+	Brcc3	346	298	282	291	298	331	281	252	308	330	318	315	337	261	378	319
15	88687035	88734220	-	Brd1	551	549	468	504	549	624	621	398	615	425	387	649	847	495	639	687
17	34112019	34122608	-	Brd2	1280.01	1345.99	998.002	1211	1221	1583	1499.01	1129	1945.99	1057	1007	1596	2245.99	1391	1688.03	2016.98
2	27445581	27475674	-	Brd3	494.999	494.002	364	428.999	448.998	554.001	552.999	420	651.997	410	339	546.997	730.999	521.998	615.002	683.998
2	27442436	27444222	+	Brd3os	31	34	38	38	36	33	41	46	46	26	45	53	52	45	54	60
17	32196272	32284134	-	Brd4	594.999	538.002	368	523.998	714.002	798	668.001	327	879.996	433	352.001	729.998	1153	520.998	662.999	699.003
8	88332311	88362192	-	Brd7	705	882	743	803	1093	1141	898	765	778	738	626	874	803	914	831	759
18	34598615	34624864	-	Brd8	372.999	349	239	296	478	445	444	249	579.991	244	241	539.998	877.999	303	440	456.001
13	73937811	73960890	+	Brd9	332.001	299.999	298	310.999	365	423	377.999	297	418	295	329.001	385.999	506.998	379	425	506
12	112959862	113000622	-	Brf1	266	323	282	299	325	315	335	216	371	189	235	363	491	329	283	409
8	27123832	27128633	-	Brf2	44	65	51	62	77	77	85	47	104	52	58	80	140	65	79	104
5	144244437	144264574	+	Bri3	1459	1663	1480	1579	1332	1260	1318.99	1350	1352	1362.01	1481	1519.99	1456.01	1925	1408	1565.01
5	125441568	125460886	+	Bri3bp	803.003	737.997	634	697.002	771.003	698.001	756.002	751.995	634.001	718.001	585.003	711.999	540.999	905.003	701.001	652.998
11	86058136	86201194	-	Brip1	23	13	22	10	18	28	26	15	71	10	13	43	109	7	22	28
11	86201360	86304444	+	Brip1os	259.598	211.078	247.885	228.823	429.551	510.057	346.565	198.593	620.542	198.159	181.418	493.909	930.511	281	350.393	458.48
15	10474779	10485938	-	Brix1	248	193	215	243	265	263	245	176	291	220	202	254	322	190	211	242
6	113604772	113616952	+	Brk1	786	741	680	769	935	972	932	670	1265	747	734	1006	1682	1010	870	1124
19	5041363	5049913	+	Brms1	136	163	137	173	170	180	164	110	220	150	155	171	411	171	171	174
12	55836366	55869737	+	Brms1l	227	228	243	219	267	255	280	240.999	300	223	218	275	425.001	244.999	284	295
1	183276352	183297294	-	Brox	664.997	623.998	543	628.003	743.997	849.998	674.003	619.999	875.996	588	555.001	772.999	968.997	563.001	697.002	772.001
6	113307137	113324863	+	Brpf1	310	291	235	279	292	425	342.001	216	403	190	230	391	565.998	295	379.999	425.999
17	28801126	28838790	+	Brpf3	204	213	175	250	289	315	322	178	394	162	147	330	500	217	271	375
7	4690928	4715998	+	Brsk1	17.6664	11	21.84	19	45	45	28.9058	16	91.643	11	16	70.9506	120	17.9376	44	67
16	95992092	96082429	-	Brwd1	894.002	895.999	684	880	969	989	863.998	742	949	731	686	1003	1053	755	897	936.999
X	108735845	108834347	-	Brwd3	143	129	73	86	111	129	102	98	177	92	114	151	253	45	131	214
19	8837467	8848684	+	Bscl2	143.91	160.922	155.971	150	165.672	227	167.702	161.931	326.939	144.966	133	253.857	377.891	159.394	293.9	268.533
4	129461679	129488433	+	Bsdc1	745	713	645	679	719	718	638	665	735	625	576	729	902	746	709	717
10	79704358	79711980	+	Bsg	16716.2	17694.9	17842.8	16126.1	15828.3	15569.8	15781.2	17261	11785	15520.4	15162.2	14339.9	12016.5	19952.8	13965.5	13634.4
8	71534256	71537473	-	Bst2	271	289	250	236	309	424	363	267	534	176	215	452	935	307	417	560
19	36926079	37014058	+	Btaf1	306	278	243	307	341	465	327	206	424	230	201	397	635	242	358	342
7	81792074	81829432	-	Btbd1	2863	2585	2393	2470	2678	2592	2489	2356	2209	2416	2489	2320	2327	2245	2473	2468
7	113315644	113369340	-	Btbd10	142	125	121	104	219	208	172	143	240	133	99	200	386	161	151	207
10	85386814	85660293	+	Btbd11	68	42	58	38	81	77	62	36	97	33	32	86	48	28	113	94
4	117119218	117125726	-	Btbd19	31	15	20	21	45	45	37	30	87	19	13	54	113	35	41	36
10	80642617	80657072	-	Btbd2	583	570	466	581	571	594	646	428	627	447	412	608	752	621	652	709
2	138256584	138287423	+	Btbd3	406.001	318.001	296	413.001	311	349.999	397.001	293	357	342	287	337	432	315	363	430
12	112976482	112978941	+	Btbd6	282	293.999	194	251	260.999	246	307	226	269.999	186	221	279.999	255.001	274	257	320
12	102784648	102878407	-	Btbd7	272	217	163	184	216	262	216	159	245	160	143	205	304	166	225	265
17	30215524	30576288	-	Btbd9	278.001	336.999	203	307	352	363.001	315	230.001	356.999	185	169	280	497	269	374.999	407
5	91357261	91402995	-	Btc	30	34	25	12	33	38	31	20	40	26	35	42	38	17	32	40
14	31641057	31668198	+	Btd	158	143	142	183	163	202	172	149	257	101	107	278.001	361.999	148	222	279
13	98309897	98317007	-	Btf3	1161	1167.99	1278.01	1129	1431.02	1470.01	1250	1122.99	1624.98	1151.01	1221.01	1399.99	2378.98	1420.99	1346	1525.01
4	108814295	108834303	-	Btf3l4	532.999	436.001	544.999	559.002	586.001	625.997	556.002	528.002	606.998	552.004	578.999	688.001	723	517.997	674.002	627.004
10	96617001	96622812	+	Btg1	309	344	320	383	501	628	628	491	1100	388	411	779	2532	421	803	836
1	134074865	134079156	-	Btg2	575	647	629	460	1336	1129	1012	543	907	578	547	965	1920	729	1075	1149
16	78359860	78377182	-	Btg3	168.482	116.005	123.075	71.0042	274.927	218.925	184.664	114.554	294.661	124.728	132.819	289.296	544.611	90.9882	205.652	257.93
11	49168325	49187090	-	Btnl9	357	315	244	265	335	276	236	259	194	191	246	256	101	294	173	179
19	45363734	45533344	+	Btrc	276	286	324.001	342	313.001	335	304	301	386.999	240	234	319	401.999	314	354	335.001
2	118598211	118641593	+	Bub1b	20	24	18	14	61	87	47	10	146	11	17	118	395	23	103	103
7	131560370	131571893	+	Bub3	400.001	397.002	384	403.999	526.001	516.002	421.001	391.001	578	368.999	387.001	448.999	853.002	481.001	482.002	504.003
9	46283012	46298784	+	Bud13	97	83	80	100	110	115	141	80	151	85	66	130	155	108	111	144
5	135052957	135064960	-	Bud23	185.216	193.21	149.626	173.85	233.514	278.915	169.773	146.693	217.78	167.313	139.554	199.493	371.218	222.867	226.711	216.661
5	145140376	145148079	+	Bud31	427.402	386.34	350.79	344.559	485.706	419.221	400.872	335.487	517.187	365.908	369.926	444.981	750.235	455.748	413.812	419.02
10	45335735	45372482	+	Bves	813	829	775	742	1364	1338	1114	688	861	656	640	1061	900	729	959	933
18	61639653	61647486	+	Bvht	31	25	38	42	34	26	21	24	44	22	22	31	55	47	38	41
17	47599331	47611493	-	Bysl	325.943	383.747	355.925	350.305	561.58	567.127	425.287	261.448	464.073	290.947	301.413	483.835	565.195	442.804	409.908	420.52
1	58392898	58407355	+	Bzw1	1436	1505	1282	1333	1940	2100	1524	1252	2336	1286	1485	2077	3209	1035	1796	1844
12	36091835	36156826	-	Bzw2	1706	1943	1828	1851	2058	2060	1812	1946	1628	1809	1913	1764	1592	2196	1972	1959
15	76721465	76723846	-	C030006K11Rik	849.007	958.007	822.005	862.007	952.994	794.003	931.004	826.004	819.997	751.999	700	885.995	638.001	1042.99	831.007	853.998
17	69416447	69419193	+	C030034I22Rik	36	35	45	31	31	41	40	39	31	38	19	41	54	24	30	41
11	88718643	88728573	+	C030037D09Rik	31	61	24	41	79	94	54	36	58	35	25	84	92	60	51	71
11	103697724	103725574	+	C130046K22Rik	65	83	57	46	97	83	98	67	85	60	43	72	126	84	96	84
1	184871926	184883037	-	C130074G19Rik	358	411	316	323	327	298	306	354	424	344	389	360	539	470	354	447
2	114054396	114061503	+	C130080G10Rik	2019	1878	1702	1631	1297	1256	1541	1606	1346	1703	1876	1646	981	1754	1384	1500
5	52199984	52216434	-	C130083M11Rik	21	38	13	15	20	23	27	17	33	21	38	32	29	5	35	44
11	17257547	17269177	+	C1d	447.001	479	472.002	384.999	418	411.001	368.999	477.001	485.002	511.001	543	456	576.999	274	448.002	509.001
6	7845224	7872043	+	C1galt1	115	138	74	76	110	126	155	83	125	74	136	133	198	73	111	186
X	38630783	38635144	-	C1galt1c1	160	139	140	132	155	165	128	118	175	110	140	149	339	115	137	195
4	136895916	136898845	-	C1qa	642	624	689	510	1570	1805	1731	602	1935	494	583	1861	4309	730	1848	2196
4	136880126	136886201	-	C1qb	589	559	755	588	1377	1600	1544	525	2207	444	597	1810	4202	667	1856	2141
11	70977846	70983027	-	C1qbp	1400	1401	1470	1681	1766	1769	1435	1404	1420	1434	1212	1575	1351	1676	1492	1268
4	136889802	136892915	-	C1qc	572	510	596	462	1387	1290	1355	483	1565	447	514	1484	3247	694	1518	1915
11	118428457	118451783	+	C1qtnf1	362	315	271.999	350	434.999	506.002	508.998	226.217	611.673	258	228	440.999	649.008	302.709	523.002	866.999
4	155962312	155966630	+	C1qtnf12	128	120	85	140	130	118	152	108	169	123	69	156	176	153	158	227
11	43474306	43491526	+	C1qtnf2	46	47	77	37	42	81	65	41	108	62	66	70	49	75	75	167
2	90885786	90890527	+	C1qtnf4	109	88	142	158	91	118	113	62	101	130	81	66	70	137	104	100
9	44101770	44109188	+	C1qtnf5	80.0511	69.7293	64.8714	72.6668	143.59	132.808	130.571	78.8911	200.135	67.6177	60.597	145.456	314.404	67.2747	131.044	211.735
15	78523346	78529652	-	C1qtnf6	128	103	92	118	490.999	535.998	403	101	944	103	79.0001	781.001	1444.01	129	528.002	585.002
5	43515569	43616587	+	C1qtnf7	49	78	74	57	93	82	123	42	190	73	92	150	174	90	128	194
14	60768134	60780870	+	C1qtnf9	517	454	420	532	223	232	323	389	217	472	452	296	100	587	289	289
6	124512621	124523441	+	C1ra	282.552	271	254	221	546.775	728	760.771	205	870	180	247	710	1157.75	184.551	920	1579.76
6	124493113	124510644	+	C1rl	29	20	8	20	69	95	87	24	122	13	16	87	153	17	95	126
6	124530344	124542360	-	C1s1	473.001	389.001	393.998	452.998	1052	1211.99	1178	331.999	1437.98	317	409	1099.99	1870.02	378.999	1492	2396.96
16	97855209	97922634	-	C2cd2	314	354	265	371	287	365	270	255	334	227	237	250	386	226	263	290
9	44309237	44320283	-	C2cd2l	226	246	219	191	284	277.001	265	207	288	144	154	296	398.999	257	279.001	298
7	100372233	100470160	+	C2cd3	145	171	114	154	154	194	204	105	217	121	97	186	285	120	152	240
6	143010920	143100153	-	C2cd5	205	210	159	188	207	251	270	211	378	203	178	338	385	280	332	349
17	57203967	57228137	-	C3	1548	1457	1142	1401	7667	9011	9272	945	10802	812	1212	9680	17740	877	11952	25221
X	36848544	36864247	-	C330007P06Rik	318	272	243	280	307	349	330	259	345	274	300	350	494	254	310	446
18	56955831	56975380	-	C330018D20Rik	317	341	273	230	296	257	225	337	271	299	387	272	238	227	252	274
4	129382719	129399087	+	C330020E22Rik	71	34	27	54	49	75	49	19	28	20	49	28	53	34	57	99
8	3567998	3584777	+	C330021F23Rik	2.05742	14.4428	9.239	13.224	14.3422	26.9048	15.4059	13.2372	15.2935	17.4649	12.3014	15.3326	38.0401	33.7883	14.4541	20.5102
6	122847140	122856158	-	C3ar1	71	78	63	78	279	342	190	99	573	47	117	385	1392	89	475	397
17	34728381	34743898	-	C4b	220	164.975	285	151	1431.97	1801.94	1565	114.929	1873.9	73	177.966	1081	2135.88	146.804	1383.95	2620.99
4	116589733	116597631	-	C530005A16Rik	33	49	36	32	39	47	30	29	27	47	33	34	46	44.489	53	33
5	76840599	76873555	+	C530008M17Rik	27	36	38	23	238	223	119	42	257	40	22	166	476	24	88	246
7	16246743	16259541	-	C5ar1	79	82.0001	80	80	255.999	315	198	52	449.001	71	78	336	1200.99	94	361.001	281
7	16234587	16244155	-	C5ar2	24	29	20	32	46	58	42	29	78	11	22	37	194	19	44	74
4	72201244	72203931	+	C630043F03Rik	30	11	13	22	33	12	12	35	24	20	28	21	36	16	17	31
15	4988762	5063774	-	C7	115	107	88	69	204	218	290	115	411	44	105	175	145	53	334	393
9	95566971	95567936	+	C730029A08Rik	178	149	149	188	128	93	169	170	142	189	157	148	95	237	178	195
4	129219578	129261405	-	C77080	86	95	88.9999	95.9999	111	128	113	68	168	70	44	167	197	92	192	267.001
6	86438376	86470388	+	C87436	111	137	129	153	138	148	121	144	162	141	92	121	171	128	170	164
9	78175914	78178883	+	C920006O11Rik	23	18	24	14	22	16	21	15	22	22	27	27	29	31	22	40
4	35191285	35225837	-	C9orf72	401.001	362.001	345	314	393.001	421.999	374.999	324	357	342.001	362	360.001	529	395	396	409.998
4	94500079	94556797	-	Caap1	57	33	37	49	52	58	60	54	68	49	46	58	118	28	83	85
1	85793441	85851578	+	Cab39	2046.98	2154.02	1805	1950.01	2624.94	2414.96	2098.01	1895.98	1993.99	1725.01	1900.03	2050.98	2427.98	1698.98	1923.01	2096.97
14	59440963	59548905	+	Cab39l	322	300.999	272	266	404.001	384	363	280	544.999	343	283.001	354	726.003	330	403	566.002
10	68430956	68541876	-	Cabcoco1	215	209	212	229	173	186	220	217	137	218	212	196	167	252	178	190
10	75646110	75764358	-	Cabin1	385	353	280	405	525	596	448	318	645	294	296	575	684	400	492	643
18	11839274	11945628	+	Cables1	124	159	141	132	76	108	110	93	137	82.9999	129	160	158	118	119	205
2	180258539	180273466	-	Cables2	190	184	166	191	173	221	224	159	294	164	120	202	282	207	221	233
5	115168691	115194382	-	Cabp1	22	11	3	17	26	23	32	8	23	6	15	34	26	34	24	20
2	27009926	27021090	+	Cacfd1	403	433	358	468	494	556	557	392	488	381	340	513	568	512	476	554
4	100776679	101003749	+	Cachd1	37	32	29	42	47	58	51	33	91	31	33	61	63	20	38	78
8	84415364	84640250	+	Cacna1a	56	56	34	45	41	73	64	41	95	45	48	64	86	42	48	118
6	118587240	119196410	-	Cacna1c	4271.03	4399.96	2889.97	3947.95	4062.91	4178.92	4767.02	3204	3734.03	2949.03	2619.03	4129.99	2861.97	3675.04	4195.06	4012.97
14	30039941	30491157	-	Cacna1d	34	31.8958	36.957	27	138	102.429	159.939	24	154.09	19	26.9411	91	345.539	23	69.8578	227.68
11	94408391	94474199	-	Cacna1g	514.999	398	429	389	389.001	483.998	674.999	216	475.999	271	236	568	333	262	518	737.999
17	25374287	25433784	-	Cacna1h	370	310	220	300.001	635.997	714.003	617.999	120	1084.99	161	120	715.004	1600.98	207	579.001	1378.02
1	136052811	136119823	+	Cacna1s	278	319	204	290	69	91	166	194	57	209	220	116	28	317	131	101
5	15934691	16374512	+	Cacna2d1	3780.05	3695.07	2954.97	3593.98	3044.99	2973.03	3041.03	3119.97	2456.98	3325.94	3218.94	2654.01	2088.99	2402.98	2780.01	2703.97
9	107399880	107529344	+	Cacna2d2	80	36	87	36	360	423.999	316	11	326.001	12	34	74	723.997	30	80	565.001
11	98001508	98022628	-	Cacnb1	54	81	54	78	79	96	119	73	123	48	54	124	142	85	131	118
2	14604306	14987909	+	Cacnb2	789	912.997	759.996	938.004	926.998	1016.01	864.004	740.996	790.994	719.005	640.997	769.002	726	816.993	895.999	783.998
15	98632328	98644537	+	Cacnb3	33	38	35	31	74	138	125	36	198	46	30	136	253	30	105	178
2	52428320	52676610	-	Cacnb4	27	19	17	42	24	25	34	18	38	30	18	40	36	17	36	41
7	3424662	3435668	+	Cacng6	42	50	22	50	17	17	38	29	19	38	32	25	5	54	53	43
7	3332825	3368222	+	Cacng7	74	86	49	70	68	69	67	53	120	46	49	86	145	77	87	110
10	81321103	81326252	+	Cactin	263	278	245	272	304	317	326	200	422	265	165	347	499	267	313	333
19	60524696	60581024	-	Cacul1	650.995	621.001	499.002	586.001	833.993	696.998	657.996	533.998	819.996	541.001	475	827.001	1080.01	539.997	763.999	768
1	160202367	160212893	-	Cacybp	947	980	904	916	929	802	805	834	863	873	851	843	1053	731	815	867
5	31054780	31078480	+	Cad	246.001	213	172	287	240.999	322	225	133	409.002	216	131	323	560.002	261.001	229	307.999
9	47530170	47853392	+	Cadm1	83	67	72	47	56	66	72	26	76	40	38	54	88	41	75	97
1	173334254	173367696	-	Cadm3	22	29	17	20	51	81	66	18	61	34	26	76	151	23	55	100
7	24482023	24504534	+	Cadm4	390	338	221	306	279	299	350	237	253	245	183	361	225	385	301	348
6	23262774	23839422	-	Cadps2	20	18	15	15	17	17	25	18	34	6	12	19	43	20	29	54
17	10319919	10321142	+	Cahm	30	45	19	38	21	23	20	26	34	42	21	33	41	34	24	27
15	102706777	102722179	-	Calcoco1	2055	2155	1647	2238	1164	1292	1730	1514	1345	1673	1393	1562	1103	2091	1695	1914
2	84330627	84425267	-	Calcrl	465	450	453	391	487	481	434	320	478	337	453	431	762	185	415	473
